j,i,pair_cnt,cnt_i,cnt_j,support,conf_i_to_j,conf_j_to_i,lift,i_desc,j_desc
37489A,37489D,14,16,14,0.0007642338555598013,0.875,1.0,1144.9375,PINK/GREEN FLOWER DESIGN BIG MUG,YELLOW/PINK FLOWER DESIGN BIG MUG
85099f,20960,6,10,10,0.0003275287952399148,0.6,0.6,1099.1399999999999,WATERMELON BATH SPONGE,JUMBO BAG STRAWBERRY
37489B,37489D,11,16,12,0.0006004694579398439,0.6875,0.9166666666666666,1049.5260416666667,PINK/GREEN FLOWER DESIGN BIG MUG,BLUE/YELLOW FLOWER DESIGN BIG MUG
37489B,37489A,9,14,12,0.0004912931928598722,0.6428571428571429,0.75,981.3749999999999,YELLOW/PINK FLOWER DESIGN BIG MUG,BLUE/YELLOW FLOWER DESIGN BIG MUG
90160A,90160B,8,12,15,0.00043670506031988647,0.6666666666666666,0.5333333333333333,814.1777777777779,RED BOUDICCA LARGE BRACELET,PURPLE BOUDICCA LARGE BRACELET
90160D,90160A,8,15,12,0.00043670506031988647,0.5333333333333333,0.6666666666666666,814.1777777777779,PURPLE BOUDICCA LARGE BRACELET,PINK BOUDICCA LARGE BRACELET
90082A,90082B,8,10,18,0.00043670506031988647,0.8,0.4444444444444444,814.1777777777778,DIAMANTE BOW BROOCH RED COLOUR,DIAMANTE BOW BROOCH GREEN COLOUR
DCGSSGIRL,DCGSSBOY,6,11,13,0.0003275287952399148,0.5454545454545454,0.46153846153846156,768.6293706293706,BOYS PARTY BAG,GIRLS PARTY BAG
90125B,90125A,5,10,12,0.00027294066269992906,0.5,0.4166666666666667,763.2916666666667,PINK BERTIE GLASS BEAD BAG CHARM,AQUA BERTIE GLASS BEAD BAG CHARM
90160D,90160B,6,12,12,0.0003275287952399148,0.5,0.5,763.2916666666666,RED BOUDICCA LARGE BRACELET,PINK BOUDICCA LARGE BRACELET
90210A,90210C,4,10,10,0.00021835253015994323,0.4,0.4,732.76,RED   ACRYLIC FACETED BANGLE,GREY ACRYLIC FACETED BANGLE
79063C,79063D,6,11,14,0.0003275287952399148,0.5454545454545454,0.42857142857142855,713.7272727272726,"RETRO PILL BOX , REVOLUTIONARY","RETRO PILL BOX KEY CHAIN,THE KING"
90185B,90185A,6,13,12,0.0003275287952399148,0.46153846153846156,0.5,704.576923076923,AMBER DIAMANTE EXPANDABLE RING,AMETHYST DIAMANTE EXPANDABLE RING
21486,85232B,5,12,11,0.00027294066269992906,0.4166666666666667,0.45454545454545453,693.9015151515152,SET OF 3 BABUSHKA STACKING TINS,PINK HEART DOTS HOT WATER BOTTLE
90129B,90129C,12,16,20,0.0006550575904798297,0.75,0.6,686.9624999999999,GREEN GLASS TASSLE BAG CHARM,TURQUOISE GLASS TASSLE BAG CHARM 
21486,84534B,4,10,11,0.00021835253015994323,0.4,0.36363636363636365,666.1454545454545,FAIRY CAKE NOTEBOOK A5 SIZE,PINK HEART DOTS HOT WATER BOTTLE
23477,23478,6,13,13,0.0003275287952399148,0.46153846153846156,0.46153846153846156,650.378698224852,WOODLAND LARGE PINK FELT HEART,WOODLAND LARGE BLUE FELT HEART
90125B,90125D,8,19,12,0.00043670506031988647,0.42105263157894735,0.6666666666666666,642.7719298245614,PURPLE BERTIE GLASS BEAD BAG CHARM,AQUA BERTIE GLASS BEAD BAG CHARM
21460,21459,7,19,11,0.00038211692777990065,0.3684210526315789,0.6363636363636364,613.555023923445,YELLOW EASTER EGG HUNT START POST,GREEN EASTER EGG HUNT START POST
51020B,51020A,9,18,15,0.0004912931928598722,0.5,0.6,610.6333333333333,SUMMER FUN DESIGN SHOWER CAP,STRIPY DESIGN SHOWER CAP
